Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lesotho,0.21,0.26,1.08,1.53,2.18,2.58,2.98,3.45,3.58,3.72,3.86,4.22,4.59
Liberia,0.02,0.03,0.03,0.03,0.03,,,0.55,0.53,0.51,2.30,3.00,3.79
Libya,0.19,0.37,2.24,2.81,3.53,3.92,4.30,4.72,9.00,10.80,14.00,14.00,19.86
Liechtenstein,36.52,45.12,59.47,58.81,64.01,63.37,64.21,65.08,70.00,75.00,80.00,85.00,89.41
Lithuania,6.43,7.18,17.69,25.91,31.23,36.22,43.90,49.90,55.22,59.76,62.12,65.05,68.00
Luxembourg,22.89,36.16,39.84,54.55,65.88,70.00,72.51,78.92,82.23,87.31,90.62,90.89,92.00
"Macao, China",13.61,22.52,25.17,25.74,31.48,34.86,46.40,47.33,49.24,54.00,55.20,60.20,64.27
Madagascar,0.20,0.22,0.34,0.42,0.53,0.57,0.61,0.65,1.65,1.63,1.70,1.90,2.05
Malawi,0.13,0.16,0.22,0.28,0.35,0.38,0.43,0.97,0.70,1.07,2.26,3.33,4.35
Malaysia,21.38,26.70,32.34,34.97,42.25,48.63,51.64,55.70,55.80,55.90,56.30,61.00,65.80
Maldives,2.20,3.62,5.35,5.98,6.59,6.87,11.04,16.30,23.20,24.80,26.53,34.00,38.93
Mali,0.14,0.19,0.23,0.31,0.43,0.51,0.73,0.81,1.57,1.80,1.90,2.00,2.17
Malta,13.11,17.88,28.92,31.64,34.62,41.24,40.41,46.90,50.08,58.86,63.00,69.22,70.00
Marshall Islands,1.53,1.71,2.34,2.57,3.60,3.88,3.80,3.95,4.60,5.60,7.00,8.06,10.00
Mauritania,0.19,0.26,0.36,0.42,0.48,0.67,0.98,1.43,1.87,2.28,4.00,4.50,5.37
Mauritius,7.28,8.78,10.25,12.19,13.69,15.17,16.70,20.22,21.81,22.51,28.33,34.95,41.39
Mayotte,1.21,,,,,,,,,,,,
Mexico,5.08,7.04,11.90,12.90,14.10,17.21,19.52,20.81,21.71,26.34,31.05,34.96,38.42
Micronesia,3.73,4.66,5.57,9.23,11.02,11.88,12.75,13.62,14.49,15.35,20.00,22.80,25.97
Moldova,1.28,1.49,3.79,7.41,10.63,14.63,19.62,20.45,23.39,27.50,32.30,38.00,43.37
Monaco,42.18,46.65,48.05,49.49,52.49,55.46,61.48,64.38,67.25,70.10,75.00,80.30,87.00
Mongolia,1.26,1.65,2.04,,,,,,9.80,10.00,10.20,12.50,16.40
Montenegro,,,,,25.35,27.10,28.90,30.80,32.90,35.10,37.50,40.00,56.84
Montserrat,,,,,,,25.91,20.43,20.32,20.26,35.00,26.90,30.66
Morocco,0.69,1.37,2.37,3.35,11.61,15.08,19.77,21.50,33.10,41.30,52.00,53.00,55.00
Mozambique,0.11,0.16,0.26,0.42,0.68,0.85,0.84,0.91,1.56,2.68,4.17,4.30,4.85
Myanmar,,0.00,0.00,0.02,0.02,0.07,0.18,0.22,0.22,0.22,0.25,0.98,1.07
Namibia,1.64,2.42,2.63,3.36,3.80,4.01,4.40,4.84,5.33,6.50,11.60,12.00,12.94
Nauru,,2.99,,,,,,,,,,54.00,
Nepal,0.20,0.24,0.31,0.38,0.45,0.83,1.14,1.41,1.73,1.97,7.93,9.00,11.15
Neth. Antilles,,,,,,,,,,,,,
Netherlands,43.98,49.37,61.29,64.35,68.52,81.00,83.70,85.82,87.42,89.63,90.72,92.30,93.00
New Caledonia,13.94,18.24,22.39,26.41,30.30,32.36,33.52,35.05,34.51,33.99,42.00,50.00,58.00
New Zealand,47.38,53.24,59.08,60.96,61.85,62.72,69.00,69.76,72.03,79.70,83.00,86.00,89.51
Nicaragua,0.98,1.45,1.71,1.88,2.32,2.57,2.81,3.90,5.30,7.30,10.00,10.60,13.50
Niger,0.04,0.11,0.13,0.16,0.19,0.22,0.29,0.39,0.70,0.76,0.83,1.30,1.41
Nigeria,0.06,0.09,0.32,0.56,1.29,3.55,5.55,6.77,15.86,20.00,24.00,28.43,32.88
